scenario,replicate,method,topk_precision,topk_recall,set_size,shortfall
exact_bt_mild_shift,35,fixed_target_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,35,fixed_target_ci_certified_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,35,ss_cbt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,0,marginal_bt,1.0,1.0,3.0,0.0
misspecified_shift,0,source_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,0,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,0,fixed_target_ci_certified_bt,1.0,1.0,3.0,0.0
misspecified_shift,0,ss_cbt,1.0,1.0,3.0,0.0
misspecified_shift,1,marginal_bt,1.0,1.0,3.0,0.0
misspecified_shift,1,source_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,1,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,1,fixed_target_ci_certified_bt,1.0,0.3333333333333333,1.0,0.6666666666666666
misspecified_shift,1,ss_cbt,1.0,0.6666666666666666,2.0,0.3333333333333333
misspecified_shift,2,marginal_bt,0.0,0.0,3.0,0.0
misspecified_shift,2,source_contextual_bt,0.0,0.0,3.0,0.0
misspecified_shift,2,fixed_target_contextual_bt,0.0,0.0,3.0,0.0
misspecified_shift,2,fixed_target_ci_certified_bt,0.0,0.0,1.0,0.6666666666666666
misspecified_shift,2,ss_cbt,0.0,0.0,2.0,0.3333333333333333
misspecified_shift,3,marginal_bt,1.0,1.0,3.0,0.0
misspecified_shift,3,source_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,3,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,3,fixed_target_ci_certified_bt,1.0,1.0,3.0,0.0
misspecified_shift,3,ss_cbt,1.0,1.0,3.0,0.0
misspecified_shift,4,marginal_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,4,source_contextual_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,4,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,4,fixed_target_ci_certified_bt,1.0,1.0,2.0,0.3333333333333333
misspecified_shift,4,ss_cbt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,5,marginal_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,5,source_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,5,fixed_target_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,5,fixed_target_ci_certified_bt,1.0,0.3333333333333333,1.0,0.6666666666666666
misspecified_shift,5,ss_cbt,1.0,0.3333333333333333,1.0,0.6666666666666666
misspecified_shift,6,marginal_bt,1.0,1.0,3.0,0.0
misspecified_shift,6,source_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,6,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,6,fixed_target_ci_certified_bt,1.0,1.0,3.0,0.0
misspecified_shift,6,ss_cbt,1.0,1.0,3.0,0.0
misspecified_shift,7,marginal_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,7,source_contextual_bt,0.3333333333333333,0.5,3.0,0.0
misspecified_shift,7,fixed_target_contextual_bt,0.3333333333333333,0.5,3.0,0.0
misspecified_shift,7,fixed_target_ci_certified_bt,1.0,0.5,1.0,0.6666666666666666
misspecified_shift,7,ss_cbt,0.3333333333333333,0.5,3.0,0.0
misspecified_shift,8,marginal_bt,1.0,1.0,3.0,0.0
misspecified_shift,8,source_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,8,fixed_target_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,8,fixed_target_ci_certified_bt,1.0,0.3333333333333333,1.0,0.6666666666666666
misspecified_shift,8,ss_cbt,0.5,0.3333333333333333,2.0,0.3333333333333333
misspecified_shift,9,marginal_bt,1.0,1.0,3.0,0.0
misspecified_shift,9,source_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,9,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,9,fixed_target_ci_certified_bt,1.0,0.3333333333333333,1.0,0.6666666666666666
misspecified_shift,9,ss_cbt,1.0,0.6666666666666666,2.0,0.3333333333333333
misspecified_shift,10,marginal_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,10,source_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,10,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,10,fixed_target_ci_certified_bt,1.0,0.3333333333333333,1.0,0.6666666666666666
misspecified_shift,10,ss_cbt,1.0,0.6666666666666666,2.0,0.3333333333333333
misspecified_shift,11,marginal_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,11,source_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,11,fixed_target_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,11,fixed_target_ci_certified_bt,0.5,0.3333333333333333,2.0,0.3333333333333333
misspecified_shift,11,ss_cbt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,12,marginal_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,12,source_contextual_bt,0.3333333333333333,0.5,3.0,0.0
misspecified_shift,12,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,12,fixed_target_ci_certified_bt,1.0,0.5,1.0,0.6666666666666666
misspecified_shift,12,ss_cbt,1.0,1.0,2.0,0.3333333333333333
misspecified_shift,13,marginal_bt,0.3333333333333333,0.5,3.0,0.0
misspecified_shift,13,source_contextual_bt,0.3333333333333333,0.5,3.0,0.0
misspecified_shift,13,fixed_target_contextual_bt,0.3333333333333333,0.5,3.0,0.0
misspecified_shift,13,fixed_target_ci_certified_bt,0.5,0.5,2.0,0.3333333333333333
misspecified_shift,13,ss_cbt,0.5,0.5,2.0,0.3333333333333333
misspecified_shift,14,marginal_bt,0.3333333333333333,0.3333333333333333,3.0,0.0
misspecified_shift,14,source_contextual_bt,0.3333333333333333,0.3333333333333333,3.0,0.0
misspecified_shift,14,fixed_target_contextual_bt,0.3333333333333333,0.3333333333333333,3.0,0.0
misspecified_shift,14,fixed_target_ci_certified_bt,0.0,0.0,1.0,0.6666666666666666
misspecified_shift,14,ss_cbt,0.5,0.3333333333333333,2.0,0.3333333333333333
misspecified_shift,15,marginal_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,15,source_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,15,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,15,fixed_target_ci_certified_bt,1.0,0.6666666666666666,2.0,0.3333333333333333
misspecified_shift,15,ss_cbt,1.0,0.6666666666666666,2.0,0.3333333333333333
misspecified_shift,16,marginal_bt,1.0,1.0,3.0,0.0
misspecified_shift,16,source_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,16,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,16,fixed_target_ci_certified_bt,1.0,0.6666666666666666,2.0,0.3333333333333333
misspecified_shift,16,ss_cbt,1.0,0.6666666666666666,2.0,0.3333333333333333
misspecified_shift,17,marginal_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,17,source_contextual_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,17,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,17,fixed_target_ci_certified_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,17,ss_cbt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,18,marginal_bt,1.0,1.0,3.0,0.0
misspecified_shift,18,source_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,18,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,18,fixed_target_ci_certified_bt,1.0,1.0,3.0,0.0
misspecified_shift,18,ss_cbt,1.0,1.0,3.0,0.0
misspecified_shift,19,marginal_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,19,source_contextual_bt,0.3333333333333333,0.5,3.0,0.0
misspecified_shift,19,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,19,fixed_target_ci_certified_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,19,ss_cbt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,20,marginal_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,20,source_contextual_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,20,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,20,fixed_target_ci_certified_bt,1.0,1.0,2.0,0.3333333333333333
misspecified_shift,20,ss_cbt,1.0,1.0,2.0,0.3333333333333333
misspecified_shift,21,marginal_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,21,source_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,21,fixed_target_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,21,fixed_target_ci_certified_bt,1.0,0.6666666666666666,2.0,0.3333333333333333
misspecified_shift,21,ss_cbt,0.6666666666666666,0.6666666666666666,3.0,0.0
misspecified_shift,22,marginal_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,22,source_contextual_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,22,fixed_target_contextual_bt,0.3333333333333333,0.5,3.0,0.0
misspecified_shift,22,fixed_target_ci_certified_bt,1.0,0.5,1.0,0.6666666666666666
misspecified_shift,22,ss_cbt,0.3333333333333333,0.5,3.0,0.0
misspecified_shift,23,marginal_bt,1.0,1.0,3.0,0.0
misspecified_shift,23,source_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,23,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,23,fixed_target_ci_certified_bt,1.0,1.0,3.0,0.0
misspecified_shift,23,ss_cbt,1.0,1.0,3.0,0.0
misspecified_shift,24,marginal_bt,1.0,1.0,3.0,0.0
misspecified_shift,24,source_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,24,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
misspecified_shift,24,fixed_target_ci_certified_bt,1.0,1.0,3.0,0.0
misspecified_shift,24,ss_cbt,1.0,1.0,3.0,0.0
misspecified_shift,25,marginal_bt,0.3333333333333333,0.5,3.0,0.0
misspecified_shift,25,source_contextual_bt,0.6666666666666666,1.0,3.0,0.0
misspecified_shift,25,fixed_target_contextual_bt,0.3333333333333333,0.5,3.0,0.0
misspecified_shift,25,fixed_target_ci_certified_bt,0.5,0.5,2.0,0.3333333333333333
